reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOEhZuqSqqWnaKRgv-9ABYdajFUB0WugPGh-SG-fgH355YH_t7J2q4xYo6ZzN3Mc7iSrrTV6ke8hG_fl4Q,Eric Tie,https://play-lh.googleusercontent.com/a-/AOh14GiGET2XHTvsSEsA07ZBPu2s1E6fOXd9WyT_ahChpw,I cannot open the app anymore,1,0,5.4.0.6,27/10/2020 21:24,,,newest,com.anydo
gp:AOqpTOH0WP4IQKBZ2LrdNmFy_YmpPCVrV3diEU9KGm3fAX6VG0NAZCudCQpQRRI3GLL_tr8DQzUTP1hrOYG74A,john alpha,https://play-lh.googleusercontent.com/a-/AOh14GjpfgjOEbD3brypMeMT3KvhYlWG_nO2bMnMIfY9,I have been begging for a refund from this app for over a month and nobody is replying me,1,0,,27/10/2020 14:03,"Please note that from checking our records, your email has been answered, and there was no subscription registered under this address. Please check which email address you are using under you app settings- profile, and let us know so we can look further into this.",27/10/2020 15:05,newest,com.anydo
gp:AOqpTOEMCkJB8Iq1p-r9dPwnSYadA5BkPWTf32Z1azuuTvqA9KWdTQqNNXWZsJEhmSuYUY_LmL-OdUIl4j70wg,Sudhakar .S,https://play-lh.googleusercontent.com/a-/AOh14GidHUHTvHZTXBX36CdxFeccVR2IasC1MHUHXLuFpg,Very costly for the premium version (approx Indian Rupees 910 per year). Better to download the premium version of this app from apkmos website and use it. Microsoft to do list app is far more better.,1,0,,27/10/2020 08:18,,,newest,com.anydo
gp:AOqpTOGFrUWuKGycpje8kszj3uwHN6tU_fd4gLVFy9z7hfGM7Gan22TJrN89NmGVEdj5o4U6W4I6slbTx8OsQw,SKGflorida@bellsouth.net DAVID S,https://play-lh.googleusercontent.com/-75aK0WFniac/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn_nhfTJ2FT63nZ53feI1vVx58DJg/photo.jpg,"Used to keep me organized, but all the 2020 UPDATES have made a mess of things !!! Y cudn't u leave well enuf alone ??? Guess ur techies feel the need to keep making changes to justify continuing to collect their salary !!! 🤤🤤🤤",1,0,,26/10/2020 13:28,"What do you find troublesome about the update? We'd love to get your feedback, by writing to us at https://www.any.do/contact_form. We're constantly trying to provide the best possible app for our users, and feedback like yours help us do so.",26/10/2020 14:58,newest,com.anydo
gp:AOqpTOHls7DW8wmDFzTkHwxuqFkdNQtKHmO6Pt9jhZEQ0Q2rDzcc9WMABIXZNu0pIJOhiFrA4uhMOLq1ZIWKQA,Louann Stoker,https://play-lh.googleusercontent.com/-pBcY_Z-qfB4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclb31oz9DIIm_ibRaVH8B2uF2SVZw/photo.jpg,Dan Birthday Oct 28,1,0,5.6.0.7,26/10/2020 06:10,,,newest,com.anydo
gp:AOqpTOEvElPsBa6k8rLDmk-WrEoJea98KUrIGYWodJeMVupSbNMymunFaONx09WflbZ3CLazVJJDAAp3dVvd1g,Jon Clemens,https://play-lh.googleusercontent.com/-q6L1fx0d77w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmDlzv-eKozESInr3I7zPC0RW-G8w/photo.jpg,It has changed how I viewed my different lists. Now they are all jumbled together and I can't find what I need.,1,1,5.6.0.7,26/10/2020 05:04,"Please note that in order to sort the lists by timeline, you can simply go to the ""All Tasks"" view, and change the sorting from 'List' to 'Time' under the menu on the top right corner :) If you have any further questions, please contact us at https://www.any.do/contact_form.",26/10/2020 14:56,newest,com.anydo
gp:AOqpTOGHb-APKKMNFyL1OwuGq1AGW6bQp5aYYxSHvJxFL6ur8n__5GqPwFPNb10urenFAS-p4fxP4490-COB8A,Gale W,https://play-lh.googleusercontent.com/a-/AOh14GgZuh05SN1HwBhxQRWLcGY36N1xKg3m_ABR5tJV3g,"I'm only looking for a grocery list app but every time I tap away from the app I have to tap again (after opening it again) to see the list. I can't find a way to keep a certain list showing when I open or reopen the app. eta: in response to the reply, it doesn't work like that on my phone. Even if the grocery list is showing, when I open another app and then go back to the any.do app, the list of lists is showing and I have to retap to get the grocery list to show again.",1,0,5.6.0.6,25/10/2020 23:40,"Sorry about that. We are not aware of any issues with display of Grocey lists. Kindly contact us at- https://www.any.do/contact_form, with any relevant information (as explained here- https://support.any.do/sending-files-to-support/), and we will be happy to look into it for you.",26/10/2020 14:53,newest,com.anydo
gp:AOqpTOEcxvv_c0CK3G5tHjxXsGSjbzD65OQ3og02p-q1rR1qyBmbJr6yE585uRIZ9xQPOMiP6V6LOdVmiJm3aw,No One,https://play-lh.googleusercontent.com/a-/AOh14GhY0I-W2AG_j-FF1wlpsupq36rn79kOpyllY2gMVw,"Reset my free trial, new phone I'd like to see if it's better.",1,0,5.5.0.8,25/10/2020 19:18,We have an extensive Help Center detailing how to utilize the features -https://support.any.do/. You are also welcome to contact us at https://www.any.do/contact_form with any questions. We'll be happy for an updated review once you get to know the app better :),26/10/2020 14:43,newest,com.anydo
gp:AOqpTOHVgr7_qOhORsfPwnVCqX-n98dJ1Ksrps6q52pgv44BNu_oSk1oprSIE9CwfYefD-kFIRjzGo4F4CRMYQ,I Dewa Gede Nopi Ariana,https://play-lh.googleusercontent.com/a-/AOh14Gii4hPsQ5dLH8N6-qXyDMX-Z8nlTMjXmyUkGOTZIA,How do to stop monthly payment because i don't use this app anymore,1,0,5.6.0.7,25/10/2020 10:09,"Please note that you may cancel your subscription plan, in accordance with our TOS, per the instructions on our Help Center- https://support.any.do/cancellations-refunds/. For further assistance, feel free to contact us at https://www.any.do/contact_form",26/10/2020 14:39,newest,com.anydo
gp:AOqpTOHQ_paQ_ffWsMqGOWmMsPxs-pBkBgR_3H63WJvyqREYhe8SB2lwPZ9MbACWyyeSIEpLfak0sUQlcpCAwg,John Riddle,https://play-lh.googleusercontent.com/a-/AOh14GiCIKp9_retaALDg18-r7prISyvBrhEhUfDn44-,"I complain about not crashes and it was immediately fixed!Good job!! Now the crashes have returned! I really need it fixed because I need to change apps otherwise 😩 I followed your instructions on deleting the data, etc but it just now crashed again. I am a patient person and I have used Any Do for years but let's try one more time and then I will have to find another app. It crashed again 😑",1,1,5.6.0.7,23/10/2020 03:15,"We are unaware of any issues with the app not closing correctly, so that's odd. Please send us a bug report via your app Settings - Support, we will be happy to get to the bottom of this for you.",25/10/2020 17:11,newest,com.anydo
gp:AOqpTOEA0ubPA5n0s_6lg0BHqfQqj0gi-KIdZF_I1yZSAWSG99_sh26f4jfDlXPVJ_KIrJGtRX93nRwYcehR4Q,Lisa Pappas,https://play-lh.googleusercontent.com/a-/AOh14GjEqJJjp5Ks1yIvHZF4MNbnZ4McrkmSFbWSHHqCx9U,"Constant crashing. After reading all the negative reviews, I Uninstalled it from all my devices. **Canceled subscription. App was great, until it crashed. After spending more than a hour setting it up on my Samsung tablet, it will not run. Cannot even get it to start. Too bad. In the past, my experiences have been good with this app. Guess I will see how long it takes to crash on my cell phone. So much for multi-device sync. Such a disappointment. **see above, for new comment added.",1,17,5.6.0.6,21/10/2020 23:15,,,newest,com.anydo
gp:AOqpTOHrRuSVa3NrUSSPteLrj5Al27ooHi8ljxmMMRjkAyl63aPWKZHWQ0eiOIKNyNkTFf1SBAhCEi-u4cylcQ,Kyuhwa Lee,https://play-lh.googleusercontent.com/a-/AOh14GiaPCM9wXs_PecztbVJimfx89pgQN9tPU7qdG0TlOY,"Widgets are useless because they always show all tasks I have, regardless of category. There's no option to show only a specific category like groceries so they're all mixed up with to-do list tasks. Do developers even care about usability? Isn't it a software design 101?",1,0,,21/10/2020 16:28,,,newest,com.anydo
gp:AOqpTOGCsBs3-GSKz119JEyIQtyzUswQeotrpjqvGVEN-vY8vnnJ22kjT_5O5mrdt8zU0wRxmD-GsrIsoQv_iA,Tom Dashiell,https://play-lh.googleusercontent.com/-CO7vT28emWs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl9wCDB7wKMXL4A0ru5lv9Am2cK0Q/photo.jpg,Horrible app. It doesn't do as described. Absolutely no support!,1,0,,20/10/2020 07:14,,,newest,com.anydo
gp:AOqpTOFI1-khEBbLnJU1yPTAg_rTBWEX3ZK5yOthFwyYmAUzSwTRwDJ17iZCBt7LT65M_cIbYU8A6Gu4acFSgw,Erica M,https://play-lh.googleusercontent.com/a-/AOh14GhHrxAh7CP8fW7oq49YjnLDiF8xYKM16yQJZ5yL,"Update October 2020: new update deleted all of my tasks, forced me to create an account, and now only bare minimum is free. Finding a new app. Been using this for years and loved it. With each update you get less and less free. It just auto updated and now I can't have reoccurring reminders without paying. Unless you count defaulting to every Monday. It wouldn't even allow me to update a long time weekly reminder",1,20,5.6.0.7,20/10/2020 06:59,,,newest,com.anydo
gp:AOqpTOFTcK3OSNQM_GedidaPkGSIsB-wuBzWWS_i8KEnPSflZ06hELS5xhdhmEFk0MxDdll5ELbblUhT_nKZ4Q,Susan Anderson,https://play-lh.googleusercontent.com/a-/AOh14Gil_tre02LcDeQjXVaNBvCtzpScBoNbpwA3Vnpxlw,Did not realize there was a charge for this app do not want this app.,1,0,,19/10/2020 13:14,"You can use Any.do for free! 90% of the app is completely free, including all core functionality, we allow our users to enjoy most of the features for as long and as much as they wish without any 3rd party ads or a requirement to upgrade :)",21/10/2020 19:28,newest,com.anydo
gp:AOqpTOHnLeO0PPj1jtiWlfKaIADWg-J039PvPQjHwmufBGmWWXDlcvhYaqvmZXsCD8Qd3SYABcpWsfCdq6FK7w,Simon H,https://play-lh.googleusercontent.com/-jmK4uMjNoTw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckRiQ2ine4BRCFXQopwQuGLYecK3A/photo.jpg,"Spams notifications of how many tasks other users have completed this week. Who on earth would care? Uninstalled. **Update: Developer responded that this was a once off experiment. I think this was actually the third time I received this notification. Also, experimental spam is still spam",1,0,,18/10/2020 15:03,"We have not sent these type of messages before. However, keep in mind that experiments are an important part of providing the best possible app for our users. We rely on our users' feedback to improve the app, and we truly appreciate your feedback.",19/10/2020 13:56,newest,com.anydo
gp:AOqpTOE4ZgmyiDZk9YZsFBQqqEnATvc1sETIZYq9isNUDHfCKyMqJIwPLMBsPZYhiMG9d8y-nDEYIHNraLPNKA,John Pires Photography,https://play-lh.googleusercontent.com/a-/AOh14GjFlX8VV9zgzbeMjC1bwGGsCUU0SGpO2fcNmDk2,Downloaded first thing it trys to do is do a con. Not impressed.,1,0,,18/10/2020 11:57,We're not sure what you mean by that. We have an extensive Help Center detailing how to utilize the features -https://support.any.do/. You are also welcome to contact us at https://www.any.do/contact_form with any questions. We'll be happy for an updated review once you get to know the app better :),19/10/2020 13:50,newest,com.anydo
gp:AOqpTOG9cqNtW6wDlVZOu-v0fFtyKxS5EfFWoePAqJkWjh7ef1luOP8EdOZRhlHq-kWLvFJX-hLnRlrFAEE8xA,Stacy Dehut,https://play-lh.googleusercontent.com/-W6P48pSC5MQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm0uq_jmx44kdk7IBZZAZgNGfTuXQ/photo.jpg,No longer works with Alexa. What happened??,1,0,5.6.0.6,17/10/2020 16:09,,,newest,com.anydo
gp:AOqpTOG7O0QHPF-ALRwVW6FMGeKf5J5Gq2SYMAy8DLfeSIiadF8CZBe4R-BbVcfsKLa825kdhHWNrizbjiPmQg,Rishi Mehta,https://play-lh.googleusercontent.com/-ehKbKpNmNkI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmwkr0NhLG4cBbS8f4oCDFtpQZSnQ/photo.jpg,it doesn't show any list,1,0,5.6.0.6,17/10/2020 09:25,,,newest,com.anydo
gp:AOqpTOEi68n5Nhll2XbpRcoV6IIkrAexkpOTv0A8ueWW1uDNcbAAqJvadrlQGGKB2LudWTg2ReBunnZFdfv01w,Jacob Lombardi,https://play-lh.googleusercontent.com/a-/AOh14GhmtUBe0w0dJPLFvVvVPNqQ1p0qx63SVuh32-N4Nw,Do not download,1,0,,16/10/2020 07:57,"Was there a specific issue you encountered? We will be happy to assist, should you contact us at https://www.any.do/contact_form",18/10/2020 14:08,newest,com.anydo
gp:AOqpTOGbiMG5WNCrGuTd0nmHg0Tok75AfW752g2syKzwbnQ1QlMHSgbXisZdq7Ok08PgzG5qWBE7JtIC6ml5gQ,Colleen McFarland,https://play-lh.googleusercontent.com/-_QRYS_5rJNo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn21coopTVGa3GHnfz1XNTUCgPqQw/photo.jpg,This app is not what I wanted at all.,1,0,,15/10/2020 07:45,"Sorry you feel this way! We have an extensive Help Center detailing how to utilize the features -https://support.any.do/. In case you need any assistance, you are welcome to contact us at https://www.any.do/contact_form and we will be happy to answer any question.",15/10/2020 14:34,newest,com.anydo
gp:AOqpTOELOICKPjyvmSySLflfOlkd0ccYqZwG9dZzI6iVMlXBpuX6QI993AqrsuKchQ2jlrHh8fhSO71DZSKWpQ,Kofi Osahene,https://play-lh.googleusercontent.com/a-/AOh14GiNloiEz2CEb_ZTgNF7Mu62dX_AUwS1V885H7QyRA,Unnecessary pop up. Really annoying and counterproductive,1,0,,15/10/2020 03:08,"We are not exactly sure to which pop up you are referring. For assistance, please contact us at https://www.any.do/contact_form, and we will be happy to assist with any question.",15/10/2020 14:32,newest,com.anydo
